Назва продукту;Лінк на продукт;Банк;Зображення карти
Райфкарта + Visa Gold;https://minfin.com.ua/cards/card/view/rajfkarta-visa-gold;Райффайзен банк Аваль;https://minfin.com.ua/cimgs/cards/rajfkarta-visa-gold.png
Райфкарта + Visa Gold;https://minfin.com.ua/cards/card/view/rajfkarta-visa-gold;Райффайзен банк Аваль;https://minfin.com.ua/cimgs/cards/rajfkarta-visa-gold.png
Райфкарта Visa Reward;https://minfin.com.ua/cards/card/view/rajfkarta-visa-reward;Райффайзен банк Аваль;https://minfin.com.ua/cimgs/cards/rajfkarta-visa-reward.png
Просто Карта;https://minfin.com.ua/cards/card/view/prosto-karta;Таскомбанк;https://minfin.com.ua/cimgs/cards/prosto-karta.png
«Кредобра+»;https://minfin.com.ua/cards/card/view/kredobra-620319137;Кредобанк;https://minfin.com.ua/cimgs/cards/kredobra-620319137.png
«Кредобра»;https://minfin.com.ua/cards/card/view/kredobra;Кредобанк;https://minfin.com.ua/cimgs/cards/kredobra.png
Elite;https://minfin.com.ua/cards/card/view/elite;Кредобанк;https://minfin.com.ua/cimgs/cards/elite.png
UnexSmart;https://minfin.com.ua/cards/card/view/unexsmart;Юнекс Банк;https://minfin.com.ua/cimgs/cards/unexsmart.png
Мобильный капитал;https://minfin.com.ua/cards/card/view/mobilny-j-kapital;МТБ Банк;https://minfin.com.ua/cimgs/cards/mobilny-j-kapital.png
"Виртуальная карта ""Visa Virtuon""";https://minfin.com.ua/cards/card/view/virtualnaya-karta-visa-virtuon;МТБ Банк;https://minfin.com.ua/cimgs/cards/virtualnaya-karta-visa-virtuon.png
"Карта для моряков ""Platinum""";https://minfin.com.ua/cards/card/view/karta-dlya-moryakov-platinum;МТБ Банк;https://minfin.com.ua/cimgs/cards/karta-dlya-moryakov-platinum.png
